phase,eer,gender,minDCF,text,loop,word
eval,14.204081632653065,female,0.5952585034013599,0,1,0
eval,7.836734693877556,male,0.4153527210884345,0,1,0
eval,8.872,all,0.4857869387755092,0,1,0
eval,8.911564625850342,female,0.4396312925170069,3,1,3
eval,8.26190476190476,male,0.4175289115646264,3,1,3
eval,8.245333333333333,all,0.4346168707482998,3,1,3
eval,6.653061224489798,female,0.3829564625850329,6,1,6
eval,7.131666666666667,male,0.4358700680272104,6,1,6
eval,6.969333333333333,all,0.4230141496598648,6,1,6
eval,16.993333333333332,female,0.6660721088435378,1,1,1
eval,12.06122448979592,male,0.6431380952380944,1,1,1
eval,13.16,all,0.7574391836734701,1,1,1
eval,10.462585034013603,female,0.5783523809523813,5,1,5
eval,6.855,male,0.4050431972789111,5,1,5
eval,7.281333333333331,all,0.4499706122448977,5,1,5
eval,10.93877551020408,female,0.6162925170068021,9,1,9
eval,10.47,male,0.5553880952380956,9,1,9
eval,10.088,all,0.5584688435374155,9,1,9
eval,9.706666666666669,female,0.4385700680272104,2,1,2
eval,12.141666666666667,male,0.6118819727891164,2,1,2
eval,11.2843537414966,all,0.5753387755102036,2,1,2
eval,16.367346938775505,female,0.8612312925170063,4,1,4
eval,9.142857142857142,male,0.4310670068027202,4,1,4
eval,9.866666666666667,all,0.5769542857142865,4,1,4
eval,7.553333333333333,female,0.3844340136054425,7,1,7
eval,9.256666666666668,male,0.4045850340136054,7,1,7
eval,9.10748299319728,all,0.4117039455782312,7,1,7
eval,6.08163265306122,female,0.37293469387755,8,1,8
eval,10.2108843537415,male,0.5112680272108849,8,1,8
eval,9.730612244897962,all,0.4852157823129253,8,1,8
eval,7.0204081632653015,female,0.4514571428571429,9_9,2,9
eval,4.766666666666667,male,0.3190778911564619,9_9,2,9
eval,5.238666666666666,all,0.399061224489796,9_9,2,9
eval,4.546666666666667,female,0.2637782312925161,6_6,2,6
eval,3.878333333333334,male,0.2497159863945574,6_6,2,6
eval,4.092,all,0.2495825850340143,6_6,2,6
eval,5.2517006802721085,female,0.2244734693877547,7_7,2,7
eval,5.338333333333333,male,0.2648227891156466,7_7,2,7
eval,6.029931972789115,all,0.2870794557823126,7_7,2,7
eval,5.013333333333334,female,0.2577931972789126,3_3,2,3
