phase,eer,gender,minDCF,text,loop,word
eval,15.497076023391813,male,0.6052631578947363,0,1,0
eval,10.555555555555555,male,0.4861111111111109,3,1,3
eval,21.944444444444443,male,0.7499999999999997,6,1,6
eval,3.3333333333333326,male,0.3388888888888884,1,1,1
eval,14.166666666666666,male,0.7083333333333331,5,1,5
eval,9.999999999999998,male,0.4944444444444444,9,1,9
eval,9.166666666666666,male,0.4111111111111104,2,1,2
eval,18.88888888888889,male,0.5166666666666667,4,1,4
eval,7.777777777777772,male,0.4722222222222222,7,1,7
eval,14.444444444444448,male,0.6472222222222216,8,1,8
eval,10.555555555555552,male,0.5138888888888883,9_9,2,9
eval,14.444444444444448,male,0.6527777777777768,6_6,2,6
eval,6.111111111111112,male,0.4305555555555553,7_7,2,7
eval,6.388888888888888,male,0.3694444444444439,3_3,2,3
eval,12.222222222222223,male,0.4444444444444441,8_8,2,8
eval,6.666666666666667,male,0.2111111111111111,1_1,2,1
eval,8.333333333333337,male,0.5694444444444439,2_2,2,2
eval,3.333333333333333,male,0.15,4_4,2,4
eval,9.444444444444445,male,0.3277777777777778,5_5,2,5
eval,14.444444444444448,male,0.5222222222222223,0_0,2,0
eval,8.888888888888891,male,0.4222222222222219,9_9_9,3,9
eval,5.277777777777778,male,0.2916666666666664,0_0_0,3,0
eval,4.444444444444439,male,0.297222222222222,2_2_2,3,2
eval,9.722222222222223,male,0.4916666666666661,6_6_6,3,6
eval,4.444444444444439,male,0.3111111111111111,1_1_1,3,1
eval,10.0,male,0.5333333333333333,3_3_3,3,3
eval,5.277777777777778,male,0.4611111111111107,7_7_7,3,7
eval,12.777777777777777,male,0.4805555555555553,5_5_5,3,5
eval,3.8011695906432745,male,0.2017543859649117,4_4_4,3,4
eval,5.0,male,0.3527777777777775,8_8_8,3,8
eval,10.0,male,0.4055555555555555,2_2_2_2,4,2
eval,11.666666666666666,male,0.1777777777777777,9_9_9_9,4,9
eval,7.017543859649122,male,0.2485380116959059,7_7_7_7,4,7
eval,15.555555555555555,male,0.4166666666666667,3_3_3_3,4,3
eval,6.666666666666667,male,0.3888888888888885,0_0_0_0,4,0
eval,2.777777777777779,male,0.1999999999999996,5_5_5_5,4,5
eval,7.777777777777772,male,0.5333333333333329,6_6_6_6,4,6
eval,7.361963190184051,male,0.4202453987730051,8_8_8_8,4,8
eval,10.0,male,0.3722222222222222,1_1_1_1,4,1
eval,1.1111111111111112,male,0.0444444444444444,4_4_4_4,4,4
eval,7.5,male,0.2638888888888887,1_1_1_1_1,5,1
eval,9.166666666666666,male,0.4722222222222215,5_5_5_5_5,5,5
eval,4.444444444444439,male,0.2166666666666666,4_4_4_4_4,5,4
eval,10.555555555555552,male,0.3888888888888889,3_3_3_3_3,5,3
eval,7.222222222222221,male,0.3638888888888887,6_6_6_6_6,5,6
eval,3.888888888888889,male,0.2416666666666664,2_2_2_2_2,5,2
eval,7.222222222222219,male,0.3388888888888884,8_8_8_8_8,5,8
eval,5.555555555555558,male,0.5055555555555555,7_7_7_7_7,5,7
eval,9.999999999999998,male,0.4277777777777777,0_0_0_0_0,5,0
eval,11.55015197568389,male,0.3783783783783784,9_9_9_9_9,5,9
